income_groups,age,gender,year,population
high_income,100.0,1.0,1950.0,2517.0
high_income,100.0,1.0,1951.0,2248.0
high_income,100.0,1.0,1953.0,2153.0
high_income,100.0,1.0,1956.0,2221.0
high_income,100.0,1.0,1958.0,2098.0
high_income,100.0,1.0,1959.0,1981.0
high_income,100.0,1.0,1960.0,1997.0
high_income,100.0,1.0,1961.0,2115.0
high_income,100.0,1.0,1962.0,2276.0
high_income,100.0,1.0,1963.0,2425.0
high_income,100.0,1.0,1964.0,2690.0
high_income,100.0,1.0,1965.0,3000.0
high_income,100.0,1.0,1966.0,3220.0
high_income,100.0,1.0,1967.0,3425.0
high_income,100.0,1.0,1968.0,3659.0
high_income,100.0,1.0,1969.0,3951.0
high_income,100.0,1.0,1970.0,4351.0
high_income,100.0,1.0,1971.0,473600.0
high_income,100.0,1.0,1973.0,5297.0
high_income,100.0,1.0,1974.0,5596.0
high_income,100.0,1.0,1975.0,5966.0
high_income,100.0,1.0,1976.0,6338.0
high_income,100.0,1.0,1977.0,6701.0
high_income,100.0,3.0,1979.0,7392.0
high_income,100.0,1.0,1981.0,8034.0
high_income,100.0,1.0,1982.0,8515.0
high_income,100.0,1.0,1983.0,8988.0
high_income,100.0,1.0,1984.0,9414.0
high_income_typo,100.0,1.0,1985.0,9774.0
high_income,100.0,1.0,1986.0,10114.0
high_income,100.0,1.0,1987.0,10574.0
high_income,100.0,1.0,1988.0,11028.0
high_income,100.0,1.0,1989.0,11454.0
high_income,100.0,1.0,1990.0,11859.0
high_income,100.0,1.0,1992.0,12313.0
high_income,100.0,1.0,1994.0,12074.0
high_income,100.0,1.0,1995.0,12200.0
high_income_typo,100.0,1.0,1996.0,12527.0
high_income,100.0,1.0,1997.0,13180.0
high_income,100.0,1.0,1999.0,15111.0
high_income,100.0,1.0,2000.0,16265.0
high_income,100.0,1.0,2001.0,17520.0
high_income,100.0,3.0,2003.0,19735.0
high_income,100.0,1.0,2005.0,21984.0
high_income,100.0,1.0,2006.0,23259.0
high_income,100.0,1.0,2008.0,26483.0
high_income,100.0,1.0,2009.0,28294.0
high_income,100.0,1.0,2010.0,30305.0
high_income,100.0,1.0,2012.0,34096.0
high_income,100.0,1.0,2013.0,36300.0
high_income,100.0,1.0,2014.0,38440.0
high_income,100.0,1.0,2016.0,40281.0
high_income,100.0,1.0,2017.0,41509.0
high_income,100.0,1.0,2018.0,43668.0
high_income,100.0,1.0,2019.0,47614.0
high_income,100.0,1.0,2020.0,53333.0
high_income,100.0,1.0,2021.0,59982.0
high_income,100.0,1.0,2022.0,64066.0
high_income,100.0,1.0,2023.0,66519.0
high_income,100.0,1.0,2024.0,70413.0
high_income,100.0,2.0,1950.0,6150.0
high_income,100.0,2.0,1951.0,5679.0
high_income,100.0,2.0,1952.0,5552.0
high_income,100.0,2.0,1954.0,5578.0
high_income_typo,100.0,2.0,1955.0,5636.0
high_income,100.0,2.0,1958.0,5737.0
high_income_typo,100.0,2.0,1959.0,5542.0
high_income,100.0,2.0,1960.0,5612.0
high_income_typo,100.0,2.0,1962.0,6486.0
high_income,100.0,2.0,1963.0,6974.0
high_income,100.0,2.0,1964.0,7598.0
high_income,100.0,2.0,1965.0,8321.0
high_income_typo,100.0,2.0,1966.0,8973.0
high_income,100.0,2.0,1968.0,10243.0
high_income,100.0,2.0,1969.0,10931.0
high_income,100.0,2.0,1970.0,11836.0
high_income,100.0,2.0,1971.0,12853.0
high_income,100.0,2.0,1973.0,15255.0
high_income,100.0,2.0,1974.0,16518.0
high_income,100.0,2.0,1975.0,18151.0
high_income,100.0,3.0,1978.0,22704.0
high_income,100.0,2.0,1979.0,24306.0
high_income,100.0,2.0,1980.0,26037.0
high_income,100.0,2.0,1981.0,28001.0
high_income,100.0,2.0,1982.0,30682.0
high_income,100.0,2.0,1984.0,36805.0
high_income,100.0,2.0,1985.0,40149.0
high_income,100.0,2.0,1986.0,43196.0
high_income,100.0,2.0,1987.0,46158.0
high_income,100.0,2.0,1988.0,48920.0
high_income,100.0,2.0,1990.0,54045.0
high_income,100.0,2.0,1991.0,57105.0
high_income,100.0,2.0,1993.0,63481.0
high_income,100.0,2.0,1994.0,66627.0
high_income,100.0,2.0,1995.0,70410.0
high_income,100.0,2.0,1996.0,74522.0
high_income,100.0,2.0,1997.0,79332.0
high_income,100.0,2.0,1998.0,84601.0
high_income,100.0,2.0,1999.0,89876.0
high_income,100.0,2.0,2001.0,103091.0
high_income,100.0,2.0,2002.0,110062.0
high_income_typo,100.0,2.0,2003.0,116030.0
high_income,100.0,2.0,2004.0,122476.0
high_income,100.0,2.0,2005.0,129858.0
high_income,100.0,2.0,2006.0,138164.0
high_income,100.0,2.0,2008.0,157662.0
high_income,100.0,2.0,2009.0,167948.0
high_income,100.0,2.0,2010.0,178683.0
high_income,100.0,2.0,2012.0,196835.0
high_income,100.0,2.0,2014.0,213562.0
high_income,100.0,2.0,2016.0,220017.0
high_income,100.0,3.0,2018.0,230222.0
high_income,100.0,2.0,2019.0,245215.0
high_income,100.0,2.0,2021.0,290645.0
high_income,100.0,3.0,2022.0,305688.0
high_income,100.0,2.0,2023.0,314643.0
high_income_typo,100.0,2.0,2024.0,327034.0
high_income_typo,18.0,1.0,1950.0,5452053.0
high_income,18.0,1.0,1951.0,5429136.0
high_income,18.0,1.0,1955.0,5633408.0
high_income,18.0,1.0,1956.0,5650511.0
high_income,18.0,1.0,1958.0,5817913.0
high_income,18.0,1.0,1959.0,5890410.0
high_income,18.0,1.0,1960.0,5933883.0
high_income,18.0,1.0,1961.0,6073934.0
high_income,18.0,1.0,1962.0,6081077.0
high_income,18.0,1.0,1963.0,5897416.0
high_income,18.0,1.0,1964.0,6399561.0
high_income,18.0,1.0,1965.0,7208362.0
high_income_typo,18.0,1.0,1966.0,7422653.0
high_income,18.0,1.0,1967.0,7351230.0
high_income,18.0,1.0,1968.0,7309013.0
high_income,18.0,3.0,1969.0,7328496.0
high_income,18.0,1.0,1970.0,7353341.0
high_income,18.0,1.0,1971.0,7417021.0
high_income,18.0,1.0,1972.0,7512163.0
high_income,18.0,1.0,1973.0,7649631.0
high_income,18.0,1.0,1974.0,7725974.0
high_income,18.0,1.0,1975.0,7788844.0
high_income,18.0,1.0,1976.0,7921981.0
high_income,18.0,1.0,1977.0,8068472.0
high_income,18.0,1.0,1978.0,8142522.0
high_income,18.0,1.0,1979.0,8170465.0
high_income,18.0,1.0,1981.0,8211099.0
high_income,18.0,1.0,1982.0,8271267.0
high_income,18.0,1.0,1986.0,7899956.0
high_income,18.0,1.0,1987.0,7951536.0
high_income,18.0,1.0,1988.0,8024208.0
high_income,18.0,1.0,1990.0,7926177.0
high_income,18.0,1.0,1991.0,7783017.0
high_income,18.0,1.0,1994.0,7492105.0
high_income,18.0,1.0,1995.0,7452139.0
high_income,18.0,1.0,1996.0,7463095.0
high_income,18.0,1.0,1997.0,7544891.0
high_income,18.0,1.0,1998.0,7666216.0
high_income,18.0,1.0,2000.0,7645110.0
high_income,18.0,1.0,2001.0,7617585.0
high_income,18.0,1.0,2003.0,7596658.0
high_income,18.0,1.0,2005.0,7552980.0
high_income,18.0,1.0,2006.0,7599317.0
high_income,18.0,1.0,2007.0,7684774.0
high_income_typo,18.0,1.0,2009.0,7801491.0
high_income,18.0,1.0,2010.0,7715370.0
high_income,18.0,1.0,2012.0,7470647.0
high_income,18.0,3.0,2013.0,7373647.0
high_income,18.0,1.0,2014.0,7308183.0
high_income,18.0,1.0,2015.0,7277087.0
high_income,18.0,1.0,2016.0,7273245.0
high_income,18.0,1.0,2017.0,7248959.0
high_income,18.0,3.0,2018.0,7279762.0
high_income,18.0,1.0,2019.0,7269111.0
high_income,18.0,1.0,2020.0,7138375.0
high_income,18.0,1.0,2022.0,7106076.0
high_income,18.0,1.0,2024.0,7230246.0
high_income,18.0,2.0,1951.0,5454749.0
high_income,18.0,2.0,1952.0,5458154.0
high_income_typo,18.0,2.0,1953.0,5546094.0
high_income,18.0,2.0,1957.0,5625613.0
high_income,18.0,2.0,1958.0,5796852.0
high_income,18.0,2.0,1963.0,5781860.0
high_income,18.0,2.0,1964.0,6256489.0
high_income,18.0,2.0,1965.0,7031670.0
high_income,18.0,2.0,1968.0,7139557.0
high_income,18.0,2.0,1969.0,7139540.0
high_income,18.0,2.0,1970.0,7179080.0
high_income,18.0,2.0,1971.0,7245206.0
high_income_typo,18.0,2.0,1972.0,7308928.0
high_income,18.0,2.0,1973.0,7439445.0
high_income,18.0,2.0,1975.0,7547264.0
high_income,18.0,2.0,1976.0,7635978.0
high_income,18.0,2.0,1977.0,7741044.0
high_income,18.0,2.0,1978.0,7799787.0
high_income,18.0,3.0,1979.0,7832744.0
high_income,18.0,2.0,1981.0,7850986.0
high_income,18.0,2.0,1982.0,7891192.0
high_income,18.0,2.0,1983.0,7818503.0
high_income,18.0,2.0,1984.0,7577987.0
high_income,18.0,2.0,1985.0,7466343.0
high_income,18.0,2.0,1986.0,7508846.0
high_income,18.0,2.0,1987.0,7521780.0
high_income,18.0,2.0,1989.0,7632253.0
high_income,18.0,2.0,1990.0,7515970.0
high_income,18.0,2.0,1991.0,7353948.0
high_income,18.0,2.0,1993.0,7172852.0
high_income,18.0,2.0,1994.0,7073627.0
high_income,18.0,2.0,1995.0,7048512.0
high_income,18.0,2.0,1996.0,7054430.0
high_income,18.0,2.0,1997.0,7109854.0
high_income,18.0,2.0,1998.0,7206180.0
high_income,18.0,2.0,2000.0,7187832.0
high_income,18.0,2.0,2001.0,7135020.0
high_income,18.0,3.0,2002.0,7079281.0
high_income,18.0,2.0,2003.0,7076487.0
high_income,18.0,2.0,2004.0,7056424.0
high_income,18.0,2.0,2005.0,7024424.0
high_income,18.0,2.0,2006.0,7054479.0
high_income_typo,18.0,2.0,2007.0,7118031.0
high_income,18.0,2.0,2008.0,7196643.0
high_income,18.0,2.0,2009.0,7224065.0
high_income,18.0,2.0,2010.0,7155599.0
high_income,18.0,2.0,2011.0,7046404.0
high_income,18.0,2.0,2012.0,6938032.0
high_income,18.0,2.0,2013.0,6854603.0
high_income,18.0,2.0,2014.0,6803313.0
high_income,18.0,2.0,2016.0,6779586.0
high_income,18.0,2.0,2019.0,6801743.0
high_income,18.0,2.0,2020.0,6694011.0
high_income_typo,18.0,2.0,2022.0,6689931.0
high_income,18.0,2.0,2023.0,6732056.0
high_income,18.0,2.0,2024.0,6828364.0
high_income,19.0,1.0,1950.0,5497704.0
high_income,19.0,1.0,1951.0,5433962.0
high_income,19.0,1.0,1953.0,5442896.0
high_income,19.0,1.0,1954.0,5545840.0
high_income,19.0,1.0,1955.0,5598563.0
high_income,19.0,1.0,1956.0,5610386.0
high_income,19.0,1.0,1957.0,5624982.0
high_income,19.0,1.0,1958.0,5680075.0
high_income,19.0,1.0,1962.0,6055049.0
high_income,19.0,1.0,1963.0,6067147.0
high_income,19.0,1.0,1964.0,5885848.0
high_income,19.0,1.0,1968.0,7325092.0
high_income,19.0,1.0,1969.0,7303011.0
high_income,19.0,1.0,1970.0,7320682.0
high_income,19.0,1.0,1972.0,7429142.0
high_income,19.0,1.0,1975.0,7727453.0
high_income_typo,19.0,1.0,1976.0,7793499.0
high_income,19.0,1.0,1977.0,7931492.0
high_income,19.0,1.0,1978.0,8076765.0
high_income,19.0,1.0,1979.0,8147549.0
high_income,19.0,1.0,1980.0,8177068.0
high_income,19.0,1.0,1981.0,8191751.0
high_income,19.0,1.0,1982.0,8234599.0
high_income,19.0,1.0,1984.0,8239997.0
high_income,19.0,1.0,1985.0,7993270.0
high_income,19.0,1.0,1986.0,7863602.0
high_income,19.0,1.0,1987.0,7927839.0
high_income,19.0,1.0,1990.0,8066004.0
high_income_typo,19.0,1.0,1991.0,7964917.0
high_income,19.0,1.0,1992.0,7825102.0
high_income_typo,19.0,1.0,1993.0,7738529.0
high_income_typo,19.0,1.0,1994.0,7637133.0
high_income,19.0,1.0,1995.0,7521172.0
high_income,19.0,1.0,1996.0,7490605.0
high_income,19.0,1.0,2001.0,7711034.0
high_income_typo,19.0,1.0,2002.0,7690141.0
high_income,19.0,3.0,2003.0,7661806.0
high_income_typo,19.0,3.0,2004.0,7675517.0
high_income_typo,19.0,1.0,2005.0,7665070.0
high_income,19.0,3.0,2006.0,7637884.0
high_income,19.0,1.0,2007.0,7694177.0
high_income,19.0,1.0,2009.0,7875442.0
high_income,19.0,1.0,2011.0,7803938.0
high_income,19.0,1.0,2012.0,7674610.0
high_income,19.0,1.0,2013.0,7552584.0
high_income_typo,19.0,3.0,2014.0,7466461.0
high_income,19.0,1.0,2015.0,7415326.0
high_income,19.0,1.0,2016.0,7401637.0
high_income,19.0,1.0,2017.0,7396972.0
high_income,19.0,1.0,2018.0,7367510.0
high_income,19.0,3.0,2019.0,7399129.0
high_income,19.0,1.0,2020.0,7365974.0
high_income,19.0,1.0,2021.0,7208753.0
high_income,19.0,1.0,2022.0,7160562.0
high_income,19.0,1.0,2023.0,7183409.0
high_income,19.0,3.0,1950.0,5594237.0
high_income,19.0,2.0,1951.0,5504895.0
high_income,19.0,2.0,1952.0,5439150.0
high_income,19.0,2.0,1953.0,5448567.0
high_income,19.0,2.0,1954.0,5540315.0
high_income,19.0,2.0,1955.0,5568828.0
high_income,19.0,2.0,1956.0,5546287.0
high_income,19.0,2.0,1957.0,5525402.0
high_income,19.0,2.0,1959.0,5798726.0
high_income,19.0,2.0,1960.0,5851881.0
high_income,19.0,2.0,1961.0,5841819.0
high_income,19.0,2.0,1962.0,5965255.0
high_income,19.0,2.0,1963.0,5969243.0
high_income,19.0,2.0,1964.0,5788900.0
high_income,19.0,2.0,1967.0,7259790.0
high_income,19.0,3.0,1969.0,7161358.0
high_income,19.0,2.0,1970.0,7158208.0
high_income,19.0,2.0,1972.0,7264560.0
high_income,19.0,2.0,1973.0,7327080.0
high_income,19.0,2.0,1974.0,7455615.0
high_income,19.0,2.0,1977.0,7654248.0
high_income,19.0,2.0,1978.0,7756813.0
high_income,19.0,2.0,1979.0,7811122.0
high_income,19.0,2.0,1981.0,7854620.0
high_income,19.0,2.0,1982.0,7877978.0
high_income,19.0,2.0,1983.0,7903356.0
